ID,Document_ID,Sentence
AR-030-268469-1,AR-030-268469,وسائل التواصل الاجتماعي لها أضرار وفوائد كثيرة.
AR-030-268469-2,AR-030-268469,ولكن بان في الآونة الأخيرة أن مضارها أكبر بكثير من منافعها.
AR-030-268469-3,AR-030-268469,فإذا نشأ الطفل وبيده هاتف أو جهاز إلكتروني ستلاحظ عدم قدرته على الاستجابة بسرعة.
AR-030-268469-4,AR-030-268469,وأيضا سوف تلاحظ عدم قدرته على التركيز.
AR-030-268469-5,AR-030-268469,ومضار التواصل الاجتماعي لم تكتف بالأطفال والمراهقين فقط بل بجميع الفئات العمرية.
AR-030-268469-6,AR-030-268469,فكم من شخص قد رحل من هذه الدنيا بسبب حادث سيارة، وسببه الهاتف المتحرك ليتفقد الشخص صفحة على مواقع التواصل الاجتماعي.
AR-030-268469-7,AR-030-268469,أيضا مقارنة بمجالس الشباب سابقا قبل ظهور مواقع التواصل، لرأيت شبابا يضحكون مع بعضهم أو لربما يلعبون لعبة ما، أما الآن فترى شبابا جالسين جنبهم الجنب ولا يتكلمون مع بعضهم البعض وتراهم جميعا على مواقع التواصل الاجتماعي.
AR-030-268469-8,AR-030-268469,التواصل الاجتماعي أثر كثيرا على عاداتنا كبشر وكمجتمع.
AR-030-268469-9,AR-030-268469,وترى أيضا امرأة إما مشغولة عن أبنائها بالتواصل الاجتماعي أو موظفا مشغولا بهاتفه أثناء أوقات الدوام.
AR-030-268469-10,AR-030-268469,مواقع التواصل الاجتماعي كسيف ذي حدين ولكن أصبحت مضارها أكثر من منافعها.
AR-030-268469-11,AR-030-268469,أصبحت تميل إلى نوع من أنواع الإدمان الذي يجب الحذر منه.
AR-030-386369-1,AR-030-386369,تعد وسائل التواصل الاجتماعي من أكبر المؤثرات على الفرد في مجتمعنا الحالي، وذلك بسبب إدمان الفرد على استخدامها بشكل متواصل ويومي.
AR-030-386369-2,AR-030-386369,تتنوع المؤثرات - منها الإيجابية والسلبية - على الأفراد في دولتنا.
AR-030-386369-3,AR-030-386369,الإيجابية منها سرعة التواصل وسهولته وتنوعه كالرسائل الفورية والصوتية والتواصل المرئي والصوتي.
AR-030-386369-4,AR-030-386369,أيضا يمكن للفائدة أن تشمل الناس عامة في وظائفهم من خلال تمكنهم من استخدام البريد الإلكتروني والاجتماعات من خلال هذه الوسائل.
AR-030-386369-5,AR-030-386369,ومن السلبيات التي تنتج من وسائل التواصل الاجتماعي الابتزاز الإلكتروني وهي ظاهرة منتشرة في الآونة الأخيرة، وغير ذلك إضاعة الوقت الذي يمكن استثماره بفائدة أخرى.
AR-030-386369-6,AR-030-386369,ومن أمثلة إضاعة الوقت قضاء وقت العمل على وسائل التواصل الاجتماعي لإضاعته.
AR-030-386369-7,AR-030-386369,ومن مؤثرات الوسائل على المجتمع أن تنتشر الإشاعات التي تولد وتزيد من المشاكل ومنها المشاكل الأسرية والاجتماعية والسياسية وغيرها.
AR-030-386369-8,AR-030-386369,وعلى سبيل التأثير الإيجابي من الممكن أن تنتشر التوعية في بعض المجالات على المجتمع من خلال وسائل التواصل.
AR-030-386369-9,AR-030-386369,أيضا من الممكن أن تنتشر بعض الثقافات الإيجابية على المجتمع من خلال وسائل التواصل كالقراءة.
AR-030-81027-1,AR-030-81027,قام انتشار وسائل التواصل الاجتماعي بشكل كبير وهذا أثر على المجتمع بشكل إيجابي وسلبي.
AR-030-81027-2,AR-030-81027,من الآثار الإيجابية للتواصل الاجتماعي التواصل مع الناس بشكل أسهل، ومن الآثار السلبية انتشار الكراهية والفساد بين الناس.
AR-030-81757-1,AR-030-81757,وسائل التواصل الاجتماعي لقد تطورت وسائل المعرفة والتقدم واجتاحت وسائل التواصل الاجتماعي منازلنا وحياتنا وأيضا مائدة طعامنا دون استئذان.
AR-030-81757-2,AR-030-81757,فللأسف أصبحت فردا من العائلة، فردا غير مرحب به، ولكنه متواجد رغما عنا، فقد أصبح مسيطرا على خلايا أدمغتنا وحواسنا.
