Document_ID	Grade	essay
1_A	A	في حياة كل منا يوم مميز يحمل في طياته ذكريات وأحداث تجعل منه يومًا لا يُنسى. بالنسبة لي، ذلك اليوم المفضل هو يوم الجمعة. يبدأ هذا اليوم بشعور من الراحة والسكينة، حيث أستيقظ على صوت زقزقة العصافير التي تغمرني بإحساس من السعادة والتفاؤل. بعد صلاة الفجر، أستمتع بوجبة فطور هادئة مع العائلة، حيث نجتمع حول المائدة ونتبادل أطراف الحديث والضحكات، مما يعزز الروابط الأسرية ويضفي دفئًا على أجوائنا.  مع حلول منتصف النهار، أتوجه إلى المسجد لأداء صلاة الجمعة، حيث ألتقي بالأصدقاء والجيران وأشعر بالانتماء إلى مجتمع متحاب ومتضامن. خطبة الجمعة تمنحني فرصة للتأمل والتفكر في شؤون حياتي، وتحثني على السعي نحو الأفضل دائمًا. بعد الصلاة، نخرج أحيانًا لتناول الغداء في أحد المطاعم، أو نعود إلى المنزل لنستمتع بوجبة عائلية تقليدية أعدتها والدتي بحب وعناية.  في فترة ما بعد الظهر، أجد الوقت المناسب للقيام بنشاطاتي المفضلة. ربما أقرأ كتابًا كنت أنتظر بفارغ الصبر استكماله، أو أخرج للتمشية في الحديقة المجاورة حيث الهواء النقي والأشجار الخضراء التي تبعث في نفسي الهدوء والسكينة. أحيانًا، ألتقي مع أصدقائي في مقهى لنحتسي القهوة ونتبادل الأحاديث حول مختلف المواضيع، مما يعزز من أواصر الصداقة بيننا.  ومع غروب الشمس، يبدأ المساء الذي أفضله. أستمتع بوقت هادئ في المنزل، حيث أقوم بمشاهدة فيلم أو مسلسل مع العائلة، أو ألعب بعض الألعاب الإلكترونية التي تضيف لمسة من المرح والتنافس المحبب. وفي نهاية اليوم، أقضي بعض الوقت في التأمل والتفكر في أحداث اليوم، وأشعر بالامتنان لكل لحظة عشتها، مما يجعلني أنام بسلام وراحة بال.  يوم الجمعة بالنسبة لي هو يوم متكامل يجمع بين العبادة والترفيه والتواصل الاجتماعي، مما يجعله يومًا مفضلًا بامتياز، يحفزني على بداية أسبوع جديد مليء بالنشاط والحيوية.
2_A	A	منذ الطفولة، لكل فرد منا ذكريات جميلة ترتبط بالطعام، ولعل الطعام المفضل لكل شخص يعكس الكثير عن شخصيته وبيئته. بالنسبة لي، الطعام الذي يحتل مكانة خاصة في قلبي هو الكبسة. هذا الطبق الذي يجمع بين الأرز المتبل والتوابل الشرقية الغنية مع قطع اللحم الطري، يمثل مزيجًا مثاليًا من النكهات التي تجعلني أشعر بالدفء والراحة.  يعود تفضيلي للكبسة إلى عدة أسباب تتعلق بالنكهة والتاريخ الشخصي. أولاً، النكهات العميقة والمعقدة للتوابل المستخدمة في الكبسة، مثل الزعفران والهيل والقرنفل، تخلق تجربة لا تُنسى لكل من يتذوقها. إنها ليست مجرد وجبة، بل هي رحلة عبر حواس الطعم والشم، حيث تمتزج الروائح الزكية مع النكهة الغنية للأرز واللحم.  ثانيًا، الكبسة ليست مجرد طعام بالنسبة لي، بل هي رمز للترابط العائلي والجلسات الدافئة. أذكر بوضوح كيف كانت العائلة تجتمع في المناسبات الخاصة أو عطلات نهاية الأسبوع حول مائدة الكبسة، حيث يتبادل الجميع الأحاديث والضحكات. تلك اللحظات جعلت من الكبسة أكثر من مجرد طبق، بل جزءًا من تراث عائلي يحمل في طياته ذكريات لا تقدر بثمن.  أخيرًا، الكبسة تعكس جزءًا من هويتي الثقافية. كونها طبقًا شهيرًا في المطبخ العربي، فإنها تجسد أصالة وتاريخ المنطقة التي أنتمي إليها. تناول الكبسة يعيدني إلى جذوري ويعزز ارتباطي بالثقافة والتقاليد التي أعتز بها.  في الختام، الكبسة ليست مجرد وجبة مفضلة، بل هي مزيج من النكهات والذكريات والثقافة. إنها تذكرني دائماً بأهمية الطعام في جمع الأحبة وخلق تجارب مشتركة تظل محفورة في الذاكرة. لذا في كل مرة أتذوق فيها هذا الطبق، أشعر بالامتنان لهذه اللحظات التي تجعل من الطعام وسيلة للتعبير عن الحب والانتماء.
3_A	A	الهوايات هي نافذة الروح إلى عالم من الراحة والإبداع، وهي تعبير عن الذات واكتشاف للمواهب الكامنة بداخل كل فرد. هوايتي المفضلة هي الرسم، وهو ذلك الفن الذي يتيح لي فرصة التعبير عن مشاعري وأفكاري بلغة الألوان والخطوط. منذ صغري، كنت أجد في الرسم ملاذًا من ضغوط الحياة اليومية ومتنفسًا للتعبير عن كل ما يختلج في صدري من مشاعر وأفكار.  عندما أمسك بالفرشاة وأبدأ في وضع الألوان على القماش، أشعر وكأنني أبحر في عالم آخر، عالم لا تحده القوانين والقيود، حيث يمكنني أن أطلق العنان لمخيلتي بحرية. الرسم بالنسبة لي ليس مجرد نشاط ترفيهي، بل هو وسيلة للتأمل والتواصل مع الذات. كل لوحة أقوم برسمها تعكس جزءًا من شخصيتي وتروي قصة من قصصي، سواء كانت قصة حقيقية أو خيالية.   كما أن الرسم يساعدني على تحسين تركيزي وصقل مهاراتي في الملاحظة، حيث يدفعني إلى الانتباه للتفاصيل الصغيرة والتقاط الجمال في أبسط الأشياء من حولي. إنه يعزز أيضًا من قدرتي على التفكير النقدي والإبداعي، حيث أبحث دائمًا عن طرق جديدة ومبتكرة للتعبير عن أفكاري وتصوراتي.  في النهاية، أستطيع القول إن الرسم ليس مجرد هواية، بل هو جزء لا يتجزأ من هويتي. إنه يمدني بالسلام الداخلي والشعور بالإنجاز، ويتيح لي فرصة التواصل مع الآخرين من خلال لغة عالمية يفهمها الجميع. الرسم يعطيني الحرية والسعادة، وهو الرفيق الذي لا يخذلني أبدًا في أوقات الفرح أو الحزن، فهو ملهمي وصديقي الدائم.
4_A	A	في أحد أيام الربيع المعتدلة، قررت أن أبتعد قليلاً عن صخب الحياة اليومية وأقوم برحلة إلى الجبال المحيطة بمدينتي. كانت الطبيعة تناديني بألوانها الزاهية، ونسيمها العليل الذي يحمل في طياته عبق الزهور البرية. جهزت حقيبتي ببعض الضروريات، وانطلقت في صباح مشرق، وقلبي ينبض بتوقعات المغامرة القادمة.  عند وصولي إلى سفح الجبل، استقبلتني مشاهد خلابة للأشجار الكثيفة التي تمتد على مد البصر، وكأنها تحكي قصص الأزمان الغابرة. بدأت السير على الدرب المتعرج، وكلما صعدت أكثر، كانت المناظر تزداد سحرًا وإثارة. كانت الطيور تغني بألحانها الطبيعية، تشكل سيمفونية رائعة تتداخل مع أصوات الطبيعة الأخرى.  خلال المسير، توقفت لاستراحة قصيرة بجانب جدول ماء صغير، حيث كانت المياه البلورية تتدفق برقة فوق الصخور الناعمة. جلست هناك، متأملاً في جمال المشهد، مغمورًا بالهدوء الذي لم أعهده من قبل. كانت هذه اللحظات القليلة كفيلة بأن تملأ روحي بالسكينة وتجدد نشاطي للمواصلة.  بعد وقت ليس بالقصير، وصلت أخيرًا إلى القمة. كان المنظر من الأعلى مذهلاً، حيث بدت المدينة صغيرة وبعيدة، وكأنها لوحة فنية مرسومة بأنامل الطبيعة. جلست هناك لبعض الوقت، متأملاً في عظمة الخلق وتفاهة المشاكل اليومية التي كنت أحملها على عاتقي. شعرت بالامتنان لهذه اللحظة، للفرصة التي أتاحتها لي هذه الرحلة للتواصل مع الطبيعة ومع نفسي.  في طريق العودة، حملت معي ذكريات لا تنسى وتجربة أصبحت جزءًا من ذاكرتي. أدركت أن هذه الرحلة لم تكن مجرد هروب من الواقع، بل كانت فرصة للتأمل والعودة إلى الذات بروح جديدة. كانت تلك الرحلة بمثابة تذكير بأهمية التوازن بين الحياة العملية والراحة النفسية، وضرورة تخصيص وقت للتواصل مع الطبيعة التي تمنحنا السلام والهدوء في عالم مليء بالضجيج.
5_A	A	في صباح يوم جديد، تشرق الشمس لتعلن بداية يوم دراسي مليء بالتحصيل والمعرفة. يبدأ اليوم بالاستعدادات المعتادة، حيث أرتدي الزي المدرسي وأتناول وجبة الفطور، ثم أخرج من المنزل متوجهًا إلى المدرسة على وقع خطواتي المفعمة بالحماس. عند وصولي إلى المدرسة، ألتقي بأصدقائي ونبدأ حوارًا مرحًا يُضفي جوًا من الإيجابية علينا جميعًا.  مع دق الجرس، نتوجه إلى الفصول الدراسية حيث يبدأ المعلمون في تقديم الدروس. في حصة الرياضيات، نتعلم مفاهيم جديدة تتحدى عقولنا وتفتح لنا أبواب التفكير النقدي. أما في حصة اللغة العربية، فنغوص في عوالم الأدب والشعر، مستكشفين جماليات اللغة وعمق معانيها. وبين الحصص، نستمتع بفترات الاستراحة حيث نتبادل القصص ونتشارك الوجبات الخفيفة، مما يعزز الروابط الاجتماعية بيننا.  خلال اليوم، تُعقد النشاطات الرياضية والفنية، فنشارك في الألعاب الرياضية التي تنمي فينا روح التعاون والمنافسة الشريفة، أو ننضم إلى ورش العمل الفنية التي تتيح لنا التعبير عن إبداعاتنا. تلك اللحظات تمنحنا فرصة لاكتساب مهارات جديدة بعيدًا عن الدروس النظرية، مما يُضفي على يومنا تنوعًا وحيوية.  مع اقتراب نهاية اليوم الدراسي، نجتمع في قاعة الاجتماعات لحضور اللقاء الأسبوعي حيث يُعلن عن أخبار المدرسة والفعاليات القادمة. يُعتبر هذا الوقت فرصة للتعبير عن آرائنا واقتراحاتنا، مما يعزز شعورنا بالانتماء والمسؤولية تجاه مجتمع المدرسة.  عند العودة إلى المنزل، أسترجع أحداث اليوم وأفكر في الدروس المستفادة، مُدركًا أن كل يوم في المدرسة يضيف لبنة جديدة في بناء معرفتي وشخصيتي. إن المدرسة ليست مجرد مكان للتعلم الأكاديمي فحسب، بل هي بيئة حيوية تُعزز القيم وتُصقل المهارات، مما يهيئنا لمواجهة تحديات المستقبل بثقة وإصرار.
6_A	A	في خضم الحياة اليومية المليئة بالانشغالات والضغوط، تأتي عطلة نهاية الأسبوع كفترة مستقطعة تمنحنا فرصة لإعادة شحن طاقتنا وتجديد نشاطنا. بالنسبة لي، يعتبر الركض في الطبيعة من الأنشطة التي أحب ممارستها خلال هذه العطلة. إنه ليس مجرد نشاط بدني، بل هو تجربة روحية وعقلية تمنحني فرصة للتواصل مع نفسي ومع العالم من حولي.  أبدأ صباح السبت بالاستيقاظ مبكرًا، عندما يكون الجو لا يزال نقيًا وهادئًا. أرتدي ملابس الركض وأتجه إلى الحديقة القريبة من منزلي، حيث تنتظرني مسارات مغطاة بالأشجار والزهور. مع كل خطوة أخطوها، أشعر بنسيم الهواء العليل يتسلل إلى رئتي، حاملاً معه رائحة الطبيعة العذبة. الركض في هذا الإطار الطبيعي يمنحني شعورًا بالحرية والانطلاق، وكأنني أتحرر من قيود الحياة اليومية.  خلال الركض، أجد نفسي أستمع إلى أصوات الطبيعة من حولي؛ زقزقة العصافير، وحفيف الأشجار، وأحيانًا صوت الماء الجاري في النهر الصغير الذي يمر بجوار الحديقة. هذه الأصوات تشكل سيمفونية طبيعية تبعث في نفسي الهدوء والسكينة. كما أن الركض يتيح لي فرصة للتأمل والتفكير في الأمور التي قد لا أجد الوقت للتفكير فيها خلال أيام الأسبوع المزدحمة.  مع انتهاء الجولة، أشعر بأنني قد نفضت عن كاهلي كل التوترات والأعباء. يملأني شعور بالإنجاز والرضا، كما لو أنني قد أعدت ترتيب أفكاري وأولوياتي. هذا النشاط البسيط، الذي يبدو مجرد روتين رياضي، يترك أثرًا عميقًا في نفسي ويجعلني أعود إلى أسبوع العمل بشعور متجدد من الطاقة والحيوية.  في نهاية المطاف، يمكنني القول إن الركض في الطبيعة ليس مجرد نشاط رياضي بالنسبة لي، بل هو وسيلة للتواصل مع ذاتي ومع العالم، ولإعادة التوازن إلى حياتي. إنه طقسي الأسبوعي الذي لا أستغني عنه، والذي يجعل من عطلة نهاية الأسبوع فترة استراحة حقيقية تعيد إليّ نشاطي وحيويتي.
7_A	A	في تاريخ كل أمة، توجد أحداث تشكل مفاصل حاسمة في مسيرتها، وتعد ثورة 23 يوليو 1952 في مصر أحد هذه الأحداث البارزة التي غيرت مجرى التاريخ المصري. تعتبر هذه الثورة محطة فاصلة حاسمة ليس فقط لأنها أنهت العهد الملكي، بل لأنها وضعت أسس التحول الاجتماعي والاقتصادي في البلاد، وأطلقت مصر نحو مرحلة جديدة من البناء والتنمية.  بدأت الثورة على يد مجموعة من الضباط الأحرار في الجيش المصري، وكانت تهدف إلى التخلص من الفساد والاحتلال البريطاني والظلم الاجتماعي، وتحقيق العدالة الاجتماعية. وقد تمكنت الثورة من الإطاحة بالملك فاروق، وإنهاء الحكم الملكي الذي دام لقرون، وإعلان الجمهورية في مصر. كان لهذا الحدث تأثير عميق على جميع جوانب الحياة في مصر، حيث شرعت الحكومة الجديدة بقيادة جمال عبد الناصر في تنفيذ سلسلة من الإصلاحات الاقتصادية والاجتماعية، منها قانون الإصلاح الزراعي الذي ساهم في توزيع الأراضي الزراعية على الفلاحين وتحسين أوضاعهم المعيشية.  ما يجعل هذا الحدث ذا أهمية كبيرة هو أنه لم يقتصر تأثيره على مصر وحدها، بل امتد ليشمل العالم العربي بأسره. فقد ألهمت ثورة يوليو العديد من الحركات التحررية في الدول العربية والإفريقية، حيث سعت هذه الحركات إلى التخلص من الاستعمار وتحقيق استقلالها. كما أن الثورة أسست لمرحلة من القومية العربية، حيث دعا الزعيم جمال عبد الناصر إلى الوحدة العربية والتعاون بين الدول العربية لمواجهة التحديات المشتركة.  وفي السياق الدولي، استطاعت الثورة أن تلعب دورًا مهمًا في حركة عدم الانحياز، حيث سعت مصر إلى بناء علاقات متوازنة مع الدول الكبرى دون الانحياز إلى أي من المعسكرين الشرقي أو الغربي خلال فترة الحرب الباردة. هذا الموقف أكسب مصر مكانة محترمة على الساحة الدولية، ومكنها من أن تكون صوتًا قويًا للدول النامية في المحافل الدولية.  في النهاية، تبقى ثورة 23 يوليو 1952 حدثًا مفصليًا في تاريخ مصر، حيث لم تقتصر على تغيير النظام السياسي فحسب، بل أسست لمرحلة جديدة من التنمية والتحولات الاجتماعية التي ساهمت في بناء مصر الحديثة. إن تأثيرها العميق والمستمر يظهر في كل جوانب الحياة المصرية، ويؤكد على أهمية الثورة في تحقيق التغيير الذي طالما تطلعت إليه الشعوب.
8_A	A	في المغرب، تحتل الثقافة والتقاليد مكانة مرموقة في حياة الناس، ومن بين التقاليد الثقافية البارزة التي تزخر بها البلاد هي "عاشوراء". يُعتبر هذا التقليد مزيجًا من الاحتفالات الدينية والاجتماعية التي تعكس التنوع الثقافي والروحي للمجتمع المغربي. يحتفل المغاربة بعاشوراء في اليوم العاشر من شهر محرم في التقويم الهجري، حيث يُعتبر هذا اليوم ذو أهمية دينية خاصة لدى المسلمين.  تبدأ الاستعدادات لعاشوراء قبل حلول اليوم نفسه بعدة أيام، حيث يحرص الناس على شراء أنواع خاصة من المكسرات والحلويات، التي تُعرف محليًا باسم "الفاكية"، لتقديمها وتذوقها في هذا اليوم. الأطفال هم الأكثر حماسًا لهذا التقليد، حيث يشاركون في ألعاب واحتفالات تُضفي على الأجواء طابعًا خاصًا من الفرح والمرح. واحدة من الممارسات الشعبية في هذا اليوم هي إشعال النيران، والتي تسمى "الشعالة"، حيث يتجمع الأطفال حولها وهم يغنون أغانٍ خاصة بعاشوراء، مما يعزز الروابط الاجتماعية بين الأفراد والمجتمع.  جانب آخر من عاشوراء يتمثل في "زمزم"، وهو تقليد يقوم فيه الناس برش الماء على بعضهم البعض، كرمز للتجديد والنقاء. هذا التقليد يُعبر عن الأمل في بداية جديدة وسنة سعيدة مليئة بالخير والبركة. بالإضافة إلى ذلك، يقوم البعض بأعمال خيرية مثل توزيع الطعام والملابس للفقراء والمحتاجين، مما يجسد روح التضامن والتكافل الاجتماعي.  يُشكل الاحتفال بعاشوراء في المغرب فرصة لإحياء التراث الثقافي وتعزيز القيم الاجتماعية والروحية. هذا التقليد ليس مجرد احتفال عابر، بل هو تعبير عن هوية المجتمع المغربي المتأصلة في تاريخ طويل من التعايش بين القيم الدينية والثقافية. ومن خلال المحافظة على مثل هذه التقاليد، يظل التراث المغربي حيًا في نفوس الأجيال المتعاقبة، مؤكدًا على ضرورة التمسك بالجذور في عالم يتغير بسرعة.
9_A	A	تلعب الانتخابات دورًا حيويًا في تعزيز الديمقراطية وتشكيل مستقبل الدول. في بلدي، تعتبر الانتخابات وسيلة أساسية لتحقيق المشاركة الشعبية في صنع القرار السياسي، حيث يُمنح المواطنون الفرصة لاختيار من يمثلهم في المجالس النيابية والهيئات الحكومية الأخرى. إن أهمية الانتخابات تكمن في كونها تجسد إرادة الشعب وتعمل على تعزيز الشفافية والمساءلة في الحكم. من خلال هذا النظام، يتمكن المواطنون من التعبير عن آرائهم وتطلعاتهم، مما يساهم في تعزيز الاستقرار السياسي والتنمية الاقتصادية والاجتماعية.  تعد الانتخابات فرصة ذهبية للتغيير والتطوير، حيث يمكن للمواطنين اختيار المرشحين الذين يحملون رؤى وأفكارًا تتماشى مع احتياجات المجتمع وتطلعاته. في بلدي، يتم انتخاب أعضاء البرلمان والمجالس المحلية والرئيس، وهذا يمنح الشعب القدرة على التأثير المباشر في السياسات العامة والإصلاحات الضرورية. إن الوعي بأهمية الانتخابات والمشاركة الفعالة فيها يعكسان نضج المجتمع وقدرته على تحديد مستقبله بإرادته الحرة.  وعلى الرغم من التحديات التي قد تواجه العملية الانتخابية، مثل محاولات التلاعب أو الفساد، إلا أن وجود مؤسسات رقابية وقوانين صارمة يساهم في ضمان نزاهة الانتخابات وشفافيتها. تبقى الانتخابات ركيزة أساسية لبناء مجتمع ديمقراطي متماسك، حيث تتجسد قيم المساواة والحرية في أبهى صورها، مما يعزز الثقة بين الشعب والحكومة ويضمن تحقيق التنمية المستدامة.  من هنا، يمكن القول إن الانتخابات ليست مجرد حدث عابر، بل هي عملية مستمرة تعكس مدى تطور المجتمع وقدرته على مواجهة التحديات وتحقيق طموحاته. إن المشاركة الفعالة في الانتخابات تعزز الحس الوطني وتؤكد على أهمية الدور الفردي في تحقيق التغيير الإيجابي، ما يجعل من الانتخابات محورًا أساسيًا في بناء مستقبل أفضل للجميع.
10_A	A	تلعب الحكومة دورًا محوريًا في تشكيل حياتنا اليومية، وإن لم يكن ذلك مرئيًا بشكل مباشر دائمًا. تبدأ التأثيرات الحكومية من القرارات السياسية والاقتصادية التي تتخذها والتي تنعكس على الأوضاع العامة للدولة، وصولًا إلى التفاصيل اليومية التي نعيشها كأفراد. من خلال سياساتها، تحدد الحكومة أسعار السلع الأساسية عبر التحكم في الضرائب والجمارك، وتؤثر على مستويات الأجور من خلال وضع قوانين العمل والحد الأدنى للأجور. كما أنها تدير المؤسسات التعليمية والصحية التي يعتمد عليها المواطنون في تعزيز جودة حياتهم.  على سبيل المثال، قد تؤثر الحكومة بشكل مباشر على الحياة اليومية من خلال تحسين البنية التحتية، مثل الطرق والجسور وشبكات المواصلات العامة. إن قرارًا حكوميًا بتطوير شبكة المواصلات العامة قد يقلل من ازدحام المرور، ويوفر الوقت والجهد للمواطنين، ويحد من التلوث البيئي. بالإضافة إلى ذلك، فإن القرارات المتعلقة بسياسات الصحة العامة، مثل حملات التطعيم أو تعزيز الرعاية الصحية الأولية، يمكن أن تحسن من مستوى الصحة العامة وتقلل من انتشار الأمراض.  التعليم هو مجال آخر حيث تظهر آثار الحكومة بوضوح. من خلال وضع المناهج الدراسية وتوفير الدعم المالي للمدارس والجامعات، تسهم الحكومة في تشكيل مستقبل الأجيال القادمة. فقراراتها بشأن السياسات التعليمية تؤثر على نوعية التعليم الذي يتلقاه الطلاب، وبالتالي على فرصهم المستقبلية في العمل والحياة.  في النهاية، يمكن القول إن العلاقة بين الحكومة والمواطنين هي علاقة تكاملية، حيث تسعى الحكومة من خلال سياساتها وقراراتها إلى تحسين جودة الحياة العامة، في حين يلعب المواطنون دورًا هامًا في المشاركة بتوجيه تلك السياسات عبر وسائل المشاركة الديمقراطية المتاحة. إن التفاعل المستمر بين الطرفين يساهم في بناء مجتمع أكثر استقرارًا وازدهارًا.
