Document_ID	Grade	essay
1_A1_6levels_p1	A1	يومي المفضل هو يوم الجمعة. أستيقظ في الصباح مبكرًا، حيث يكون الجو هادئًا وجميلًا. أول شيء أفعله هو تناول وجبة الإفطار مع عائلتي. نتحدث ونتبادل الأخبار والقصص، وهذا يجعلني سعيدًا جدًا.  بعد الإفطار، أذهب إلى المسجد لأداء صلاة الجمعة. أحب الاستماع إلى الخطبة، فهي تقدم لي الكثير من المعلومات المفيدة وتذكرني بأهمية الدين في حياتي. بعد الصلاة، ألتقي بأصدقائي ونتحدث قليلًا أمام المسجد.  في فترة الظهيرة، أعود إلى المنزل لأقضي بعض الوقت في الراحة والقراءة. أحيانًا أقرأ كتابًا جديدًا أو أتابع برنامجًا تعليميًا على التلفاز. أحب أن أتعلم أشياء جديدة في هذا الوقت.  عندما يأتي المساء، نخرج جميعًا كعائلة لتناول العشاء في مطعم مفضل لدينا. نختار أطباقًا لذيذة ونتبادل الأحاديث والضحكات. هذا الوقت هو الأجمل بالنسبة لي، حيث أشعر بالسعادة والراحة مع أحبائي.  في نهاية اليوم، أعود إلى المنزل وأشعر بالامتنان لليوم الجميل الذي قضيته. أحب هذا اليوم لأنه يجمع بين العبادة، والعائلة، والأصدقاء، والراحة. أخلد إلى النوم وأنا أشعر بالرضا والسعادة، وأتمنى أن يكون كل يوم مثل يوم الجمعة.
1_A2_6levels_p1	A2	يومي المفضل هو يوم الجمعة، لأنه يجمع بين الراحة والأنشطة الممتعة. في الصباح، أستيقظ متأخرًا قليلاً، ثم أتناول إفطارًا لذيذًا مع عائلتي. أحب تناول الفطائر مع العسل والشاي الساخن، مما يعطيني طاقة إيجابية لبدء اليوم. بعد الإفطار، أذهب إلى المسجد لأداء صلاة الجمعة، وهذه اللحظة تمنحني شعورًا بالسكينة والراحة النفسية.  بعد الصلاة، أعود إلى المنزل وأقضي بعض الوقت في الاسترخاء وقراءة كتاب ممتع. أحب الكتب التي تأخذني في رحلات خيالية أو تعلمي شيئًا جديدًا. في فترة ما بعد الظهر، ألتقي بأصدقائي ونذهب إلى الحديقة للعب كرة القدم. اللعب مع الأصدقاء يجعلني أشعر بالسعادة والحيوية، وأنا أستمتع بكل لحظة نقضيها معًا.  في المساء، نعود جميعًا إلى المنزل ونتناول العشاء معًا. أحب تناول المأكولات البحرية أو المشاوي، لأنها تجعل العشاء مميزًا. بعد العشاء، نجلس جميعًا لنشاهد فيلمًا كوميديًا أو نلعب ألعاب الطاولة. هذا الوقت مع العائلة يضيف الكثير من الفرح إلى يومي.  أخيرًا، قبل النوم، أحب أن أستمع إلى الموسيقى الهادئة أو أمارس التأمل قليلاً، مما يساعدني على الاسترخاء وتهيئة نفسي لنوم هادئ. يوم الجمعة هو يوم مميز بالنسبة لي لأنه يجمع بين الأنشطة الروحية والاجتماعية والترفيهية، مما يجعلني أشعر بالراحة والسعادة طوال اليوم.
2_A1_6levels_p1	A1	أحب الطعام كثيرًا، ولكن الطعام المفضل لدي هو البيتزا. البيتزا لذيذة وممتعة للأكل. أحبها لأنها تجمع بين الجبن الذائب والصلصة الشهية والعجينة الطرية. يمكنني إضافة مكونات مختلفة عليها مثل الفطر والزيتون والبيبروني. أحيانًا أضيف الخضار مثل الفلفل الأخضر والطماطم، وهذا يجعلها صحية أكثر.  كل مرة أكلت البيتزا أشعر بالسعادة. أستمتع بمشاركتها مع أصدقائي وعائلتي. البيتزا تجعل الوقت ممتعًا لأننا نتحدث ونضحك بينما نأكل. أيضًا، أحب رائحة البيتزا وهي تطهى في الفرن، فهي تملأ المكان برائحة لذيذة تجعلني أشعر بالجوع.  في النهاية، البيتزا بالنسبة لي ليست مجرد طعام، بل هي تجربة ممتعة ومميزة. تجمع بين الطعم الرائع واللحظات الجميلة مع من أحب. لهذا السبب، ستظل البيتزا دائمًا طعامي المفضل الذي أختاره في الكثير من المناسبات.
2_A2_6levels_p1	A2	منذ طفولتي، كان الطعام جزءًا مهمًا من حياتي اليومية، وقد جربت العديد من الأطباق الشهية. ومع ذلك، يبقى المندي هو الطعام المفضل لدي. يتميز المندي بنكهته الفريدة التي تجذبني دائمًا، فهو طبق تقليدي يجمع بين الأرز المتبل واللحم الطري، سواء كان دجاجًا أو لحم ضأن. أحب الطريقة التي يمتص بها الأرز توابل اللحم، مما يخلق مزيجًا من النكهات اللذيذة التي تُشعرني بالرضا مع كل لقمة.  ما يميز المندي بالنسبة لي ليس فقط طعمه اللذيذ، بل أيضًا الذكريات الجميلة المرتبطة به. ففي كل مرة نتجمع كعائلة لتناول المندي، أشعر بالدفء والمودة. تُذكرني هذه اللحظات بأيام الجمعة عندما كنا نلتقي جميعًا حول المائدة، نتبادل الأحاديث والضحكات فيما بيننا. كان والدي يحرص دائمًا على إعداد المندي بنفسه، ويضع فيه الحب والاهتمام مما يزيد من قيمته بالنسبة لي.  بالإضافة إلى ذلك، أجد في إعداد المندي نوعًا من الفن الذي يتطلب الصبر والدقة. بدءًا من اختيار المكونات الطازجة وحتى تتبيل اللحم وطهيه على نار هادئة، كل خطوة تُضيف إلى جاذبيته. وفي النهاية، عندما أجلس لتناوله، أشعر بالفخر والإنجاز.  لهذه الأسباب، سيبقى المندي دائمًا طعامي المفضل. إنه ليس مجرد طبق غذائي، بل هو تجربة تجمع بين النكهات المميزة والذكريات الجميلة التي أعتز بها. كلما أكلت المندي، أشعر بالسعادة والامتنان لتلك اللحظات الجميلة التي يجعلها ممكنة.
3_A1_6levels_p1	A1	أنا أحب القراءة كثيرًا. في كل يوم، أجد وقتًا لأقرأ كتابًا أو قصة. عندما أقرأ، أشعر بالسعادة والراحة. القراءة تساعدني على تعلم أشياء جديدة ومعرفة أماكن وثقافات مختلفة. أحيانًا أقرأ في الحديقة أو في غرفتي الهادئة. أحب قراءة القصص الخيالية لأنها تأخذني إلى عوالم جديدة ومثيرة. كما أنني أستمتع بالكتب العلمية لأنها تعطيني معلومات مفيدة عن العالم من حولي. أحيانًا أشارك ما قرأته مع أصدقائي، ونتحدث عن القصص والشخصيات. القراءة ليست فقط هواية بالنسبة لي، بل هي جزء من حياتي اليومية. إنها تساعدني على التفكير بشكل أفضل وتزيد من معرفتي. أعتقد أن القراءة تجعلني أفهم الحياة والناس بطرق جديدة ومثيرة.
3_A2_6levels_p1	A2	منذ أن كنت صغيرًا، أحببت الرسم. كانت الهواية التي تجذبني دائماً وتمنحني شعورًا بالراحة والسعادة. عندما أمسك بالقلم وأبدأ في رسم الخطوط والأشكال، أشعر بأنني أستطيع التعبير عن أفكاري ومشاعري من دون كلمات. الرسم يتيح لي الهروب إلى عالم خاص بي، حيث يمكنني أن أكون حراً في تخيلاتي وإبداعي.  بدأت أتعلم الرسم بمشاهدة الدروس على الإنترنت وقراءة الكتب الخاصة بتقنيات الرسم. مع مرور الوقت، أصبحت أفضل في استخدام الألوان والتظليل، وأصبحت لوحاتي أكثر تعبيرًا وواقعية. أحب أن أرسم المناظر الطبيعية، حيث أجد في الطبيعة مصدرًا لا ينضب للإلهام. الألوان الزاهية للشمس عند الغروب، وهدوء البحر، وجمال الأزهار، كلها تجعلني أريد أن أنقلها إلى الورق.  الرسم ليس مجرد هواية بالنسبة لي، بل هو وسيلة للتعبير عن الذات وتطوير الصبر والتركيز. عندما أبدأ في رسم لوحة جديدة، أحتاج إلى التركيز والانتباه للتفاصيل الصغيرة، وهذا يعزز من قدرتي على التحمل والمثابرة. كما أنني أجد في الرسم فرصة للتواصل مع الآخرين الذين يشاركونني نفس الشغف، حيث نتبادل الأفكار ونتعلم من بعضنا البعض.  في النهاية، يمكنني القول بأن الرسم ليس مجرد نشاط أمارسه في أوقات الفراغ، بل هو جزء من هويتي. إنه يعطيني القدرة على رؤية العالم من زوايا مختلفة ويضيف لونًا خاصًا إلى حياتي اليومية. لذا، سأظل أمارس هذه الهواية وأطور مهاراتي فيها لأحقق المزيد من الإبداع والإنجاز.
4_A1_6levels_p1	A1	في الصيف الماضي، قمت برحلة ممتعة إلى البحر مع عائلتي. استيقظنا في الصباح الباكر وركبنا السيارة متجهين إلى الشاطئ. كانت الشمس مشرقة والسماء صافية، مما جعل الجو مثالياً ليوم مليء بالمرح. عندما وصلنا، فرشت أمي بساطاً كبيراً على الرمال وجلسنا جميعاً نراقب الأمواج وهي تتلاطم بلطف على الشاطئ.  بدأنا بتناول الإفطار الذي حضرته أمي مسبقاً، وكان عبارة عن سندويشات لذيذة وعصير برتقال طازج. بعد ذلك، ارتديت ملابس السباحة وذهبت مع إخوتي للعب في الماء. كنا نسبح ونبني القلاع الرملية ونجمع الأصداف الجميلة التي كانت متناثرة على طول الشاطئ. كانت المياه باردة ومنعشة، وكنت أشعر بالسعادة وأنا أركض وألعب.  في وقت الغداء، جلسنا جميعاً تحت شمسية كبيرة لنحتمي من أشعة الشمس الحارقة. تناولنا وجبة الغداء، وكانت عبارة عن دجاج مشوي وسلطة خضراء شهية. بعد الغداء، أخذنا قسطاً من الراحة، ثم ذهبنا في نزهة على الشاطئ. كنا نلتقط الصور ونضحك معاً، وكانت المناظر الطبيعية حولنا خلابة.  مع اقتراب غروب الشمس، حزمنا أغراضنا واستعدينا للعودة إلى المنزل. كانت هذه الرحلة مليئة باللحظات السعيدة والذكريات الجميلة التي سأحتفظ بها دائماً في قلبي. تعلمت من هذه الرحلة أهمية قضاء الوقت مع العائلة والاستمتاع بالطبيعة وجمالها. كانت حقاً رحلة لا تُنسى.
4_A2_6levels_p1	A2	في الصيف الماضي، قررت الذهاب في رحلة إلى مدينة الإسكندرية، وهي مدينة ساحلية جميلة تقع على ساحل البحر الأبيض المتوسط في مصر. بدأت الرحلة في الصباح الباكر، حيث استقلت القطار من القاهرة إلى الإسكندرية. كانت الرحلة ممتعة، حيث استمتعت بمشاهدة المناظر الطبيعية الخلابة من النافذة، مثل الحقول الخضراء والقرى الصغيرة.  عند وصولي إلى الإسكندرية، شعرت بنسيم البحر العليل يلفح وجهي، وكان ذلك شعورًا رائعًا. توجهت أولًا إلى كورنيش المدينة، حيث قضيت وقتًا ممتعًا في المشي على الشاطئ ومشاهدة الأمواج تتكسر على الصخور. بعد ذلك، قررت زيارة قلعة قايتباي، وهي واحدة من أهم المعالم التاريخية في المدينة. تجولت في القلعة وتعرفت على تاريخها العريق، واستمتعت بالإطلالة البانورامية على البحر.  في المساء، ذهبت إلى مطعم محلي لتذوق بعض الأطباق البحرية الشهية، مثل السمك المشوي والجمبري. كان الطعام لذيذًا للغاية، وأضفى على الرحلة نكهة خاصة. بعد العشاء، استمتعت بجولة في مناطق التسوق، حيث اشتريت بعض الهدايا التذكارية لأصدقائي وعائلتي.  كانت هذه الرحلة إلى الإسكندرية تجربة لا تُنسى، حيث جمعت بين المتعة والاسترخاء والثقافة. عدت إلى المنزل محملًا بالكثير من الذكريات الجميلة، وأتمنى أن أعود إلى هذه المدينة الرائعة قريبًا لاستكشاف المزيد من معالمها وجمالها الطبيعي.
5_A1_6levels_p1	A1	في يوم من الأيام، استيقظت في الصباح الباكر وكنت متحمسًا للذهاب إلى المدرسة. بعد أن تناولت فطوري وارتديت ملابسي المدرسية، حملت حقيبتي وخرجت من المنزل. في الطريق، التقيت بأصدقائي، وسرنا معًا ونحن نتحدث ونضحك.  عند وصولنا إلى المدرسة، بدأ اليوم بطابور الصباح حيث وقفنا جميعًا في صفوف منتظمة. استمعنا إلى تحية العلم وغنينا النشيد الوطني. بعد ذلك، توجهنا إلى صفوفنا وبدأت الحصة الأولى. كانت حصة الرياضيات، وشرح لنا المعلم الدرس بطريقة ممتعة. تعلمت كيف أحل مسائل الجمع والطرح بسهولة.  بعد انتهاء الحصة، حان وقت الاستراحة. خرجنا إلى ساحة المدرسة، ولعبنا كرة القدم مع الأصدقاء. كان الجو مشمسًا واللعب ممتعًا. بعد الاستراحة، عدنا إلى الصفوف وبدأت الحصة الثانية. كانت حصة اللغة العربية، وقرأت قصة قصيرة وتعلمت كلمات جديدة.  في نهاية اليوم الدراسي، شعرت بالتعب لكنني كنت سعيدًا بما تعلمته. ودعت أصدقائي وعُدت إلى البيت. كان يومًا جميلًا ومليئًا بالنشاطات والمرح، وأتطلع إلى اليوم التالي في المدرسة لأتعلم أشياء جديدة وأستمتع مع أصدقائي.
5_A2_6levels_p1	A2	في يوم من أيام المدرسة، استيقظت مبكرًا وجهزت حقيبتي وارتديت زيا نظيفا، ثم تناولت فطوري مع عائلتي. بعد ذلك، اتجهت إلى المدرسة وأنا أشعر بالحماس لمقابلة أصدقائي والمعلمين. عندما وصلت إلى المدرسة، استقبلني أصدقائي بابتسامات وترحيب دافئ. بدأ اليوم الدراسي بحصة الرياضيات، حيث تعلمنا عن الكسور وكيفية جمعها وطرحها، وكان المعلم يشرح بطريقة بسيطة وسهلة.  بعد ذلك، كانت لدينا حصة اللغة العربية، حيث قرأنا نصًا ممتعًا عن رحلة إلى الصحراء. كنت مستمتعًا جدًا بالقراءة والنقاش مع زملائي حول مغامرات الرحلة. في وقت الاستراحة، خرجت مع أصدقائي إلى ساحة المدرسة، لعبنا كرة القدم وضحكنا كثيرًا. كان الجو رائعًا، والشمس مشرقة، مما جعل اللعب أكثر متعة.  عدنا إلى الفصل لحضور حصة العلوم، حيث قمنا بتجربة ممتعة عن دورة المياه في الطبيعة. كانت التجربة مثيرة وعلّمتني الكثير عن أهمية المياه في حياتنا. قبل انتهاء اليوم الدراسي، كان لدينا حصة تربية فنية، حيث رسمنا لوحات جميلة باستخدام الألوان المائية. أحببت هذه الحصة لأنها تعبر عن إبداعي وتمنحني الفرصة للاسترخاء.  عندما انتهى اليوم الدراسي، عدت إلى المنزل وأنا أشعر بالسعادة والرضا. كان يومًا مليئًا بالتعلم والمرح مع الأصدقاء. أحب المدرسة لأنها مكان أكتسب فيه المعرفة وأقضي وقتًا ممتعًا مع أصدقائي.
