Level,Arabic Text,Translated Text,Topic_ID,prompt_id,CEFR_level
Beginner,اوصف يومك المفضل,Describe your favorite day,1,1,A
Beginner,ما هو طعامك المفضل ولماذا؟,What is your favorite food and why?,1,2,A
Beginner,ما هي هوايتك المفضلة؟,What is your favorite hobby?,2,3,A
Beginner,تحدث عن رحلة قمت بها.,Talk about a trip you took.,1,4,A
Beginner,تحدث عن يوم في المدرسة.,Talk about a day at school.,3,5,A
Beginner,تحدث عن نشاط تحبه في عطلة نهاية الأسبوع.,Talk about a weekend activity you love.,2,6,A
Beginner,ما هو حدث تاريخي مهم في بلدك؟ لماذا هو مهم؟,What is an important historical event in your country? Why is it important?,4,7,A
Beginner,تحدث عن تقليد ثقافي في بلدك. ماذا تعرف عنه؟,Talk about a cultural tradition in your country. What do you know about it?,4,8,A
Beginner,ما هي أهمية الانتخابات في بلدك؟ هل تعرف من ينتخب؟,What is the importance of elections in your country? Do you know who votes?,5,9,A
Beginner,كيف يؤثر الحكومة على حياتك اليومية؟ هل لديك مثال؟,How does the government affect your daily life? Do you have an example?,5,10,A
Beginner,ما هي قضية اجتماعية مهمة في بلدك؟ لماذا هي مهمة؟,What is an important social issue in your country? Why is it important?,6,11,A
Beginner,كيف يمكن أن نساعد الآخرين في المجتمع؟ هل لديك أفكار؟,How can we help others in the community? Do you have any ideas?,6,12,A
Beginner,ما هو موضوعك المفضل في المدرسة؟ ولماذا تحبه؟,What is your favorite subject in school? Why do you like it?,7,13,A
Beginner,هل تفضل الدروس النظرية ام التطبيقات العملية ولماذا,"Which do you prefer, the theoretical lesson or the empirical one? Why?",7,14,A
Beginner,هل تحب طريقة التعليم في بلدك ولماذا؟,Do you like the way education is done in your country and why?,7,15,A
Beginner,ما هو رياضتك المفضلة؟ لماذا تحبها؟,What is your favorite sport? Why do you like it?,8,16,A
Beginner,كيف تحافظ على صحتك؟ هل تمارس الرياضة؟,How do you stay healthy? Do you exercise?,8,17,A
Beginner,تحدث عن شخص تعتبره قدوة لك.,Talk about a role model.,1,18,A
Beginner,تحدث عن يومك الأول في المدرسة.,Talk about your first day at school.,3,19,A
Beginner,ما هو الشيء الذي تود تغييره في العالم؟,What is the one thing you would change in the world?,9,20,A
Beginner,تحدث عن أفضل صديق لك.,Talk about your best friend.,10,21,A
Beginner,وصف تجربة طفولة لا تُنسى.,Describe an unforgettable childhood experience.,1,22,A
Beginner,ماهي الوظيفة التي تحلم بها في المستقبل ،لماذا؟,"What is your dream job in the future, and why?",11,23,A
Beginner,ما هو الطقس اليوم؟,What is the weather like today?,12,24,A
Beginner,ما هو عيد عربي شعبي؟ وماذا يفعل الناس للاحتفال به؟,"What is a popular Arab holiday, and what do people do to celebrate it?",13,25,A
Beginner,ما هو معلم عربي شهير؟ ولماذا هو مهم؟,"What is a famous Arab landmark, and why is it important?",14,26,A
Beginner,ما هو تطبيقك المفضل على الهاتف المحمول؟ وكيف تستخدمه؟,"What is your favorite mobile app, and how do you use it?",15,27,A
Beginner,هل تستخدم تطبيقات التواصل الاجتماعي؟ ماهو البرنامج المفضل وماذا تحب آن تشاهد؟,"Do you use social media apps? What is your favorite program, and what do you like to watch?",15,28,A
Beginner,كيف تقضي وقتك مع عائلتك؟,How do you spend time with your family?,10,29,A
