Document_ID	Grade	essay
1_A1	A1	يومي المفضل يكون عادة يوم الجمعة. في هذا اليوم، أستيقظ في الصباح الباكر مع شروق الشمس، وأنظر إلى السماء الزرقاء الجميلة من نافذة بيتي. أحب أن أبدأ يومي بكوب من القهوة أو الشاي، وهذا يعطيني شعورًا رائعًا بالنشاط والحيوية. بعد ذلك، أتناول وجبة الإفطار مع عائلتي، وهذا من أجمل الأوقات في اليوم حيث نتحدث ونضحك معًا.  في وقت الظهيرة، أذهب أحيانًا لزيارة صديق أو أقضي الوقت في الحديقة مع العائلة. أحب المشي في الحديقة حيث الهواء النقي والأشجار الخضراء. أحيانًا نلعب لعبة كرة القدم أو نقرأ كتابًا مفضلًا تحت ظل الشجر. إذا كان الجو حارًا، نستمتع بشراب منعش مثل عصير الليمون البارد.  في المساء، نعود إلى البيت ونجتمع لتناول العشاء. أحب أن أجرب طعامًا جديدًا أو أتناول وجبتي المفضلة مع العائلة. بعد العشاء، نستمتع بمشاهدة فيلم أو الاستماع إلى موسيقى هادئة. هذا الوقت من اليوم مليء بالضحك والاستمتاع.  قبل النوم، أحب أن أقرأ قليلاً من كتاب ممتع. هذا يساعدني على الاسترخاء قبل أن أخلد إلى النوم. في نهاية هذا اليوم الرائع، أشعر بالسعادة والرضا لأنني قضيت وقتًا ممتعًا مع العائلة والأصدقاء. إنه يوم مليء بالاستمتاع والراحة، وأتمنى أن يتكرر كل أسبوع.
2_A1	A1	أحب الطعام كثيرًا، لكن طعامي المفضل هو البيتزا. أجد البيتزا لذيذة لأنها تجمع بين مكونات مختلفة تجعلها شهية وممتعة للأكل. أعشق تناول البيتزا لأنها تحتوي على الجبن الذائب والطماطم الطازجة، وأحيانًا أضيف الفطر أو الزيتون لإضفاء نكهة إضافية. أفضل البيتزا لأنها تتيح لي اختيار المكونات حسب ما أحب.  بالإضافة إلى البيتزا، أحب تناول الفاكهة مثل التفاح والموز والبرتقال. الفاكهة لذيذة وصحية، وتمنحني الطاقة والنشاط. كما أحرص على تناول الخضار مثل الطماطم في السلطة، فهي تضيف نكهة طازجة ولذيذة للوجبات. أحيانًا أتناول الدجاج أو السمك لأنها مصادر جيدة للبروتين وتساعدني في بناء جسم صحي وقوي.  أحب أيضًا تناول الخبز مع وجباتي، فهو يشبعني ويعطيني طاقة. وأحيانًا أتناول المعكرونة لأنها سهلة التحضير ولذيذة. بعد الوجبات، أحب أن أتناول الحلوى كالشوكولاتة أو الكعك، فهي تجعلني سعيدًا وتشعرني بالراحة.  أما بالنسبة للمشروبات، فأفضل شرب الماء والعصير الطبيعي مثل عصير البرتقال أو التفاح. هذه المشروبات منعشة وصحية، وتساعدني في البقاء مرطبًا طوال اليوم.  في النهاية، أحب أن أتناول الطعام مع عائلتي وأصدقائي لأن ذلك يجعل الأكل أكثر متعة وبهجة. الطعام ليس فقط لتغذية الجسم، بل هو أيضًا وسيلة للتواصل والتمتع بوقت جميل مع من نحب.
3_A1	A1	هوايتي المفضلة هي قراءة الكتب. أحب الجلوس في مكان هادئ مع كتاب جيد. عندما أقرأ، أشعر وكأنني أسافر إلى عوالم جديدة وأتعرف على شخصيات مختلفة. في بعض الأحيان، أقرأ عن كرة القدم وأتعلم عن اللاعبين الممتازين والمباريات المثيرة. في أوقات أخرى، أختار كتبًا عن الفن وأتعلم عن رسم اللوحات الجميلة.  بالإضافة إلى القراءة، أحب الاستماع إلى الموسيقى. عندما أستمع إلى الموسيقى، أشعر بالراحة والسعادة. أحيانًا أحاول غناء الأغاني المفضلة لدي، لكني لست مغنية جيدة. أحب أيضًا قضاء الوقت مع عائلتي في الحديقة. هناك، نلعب ألعابًا مختلفة ونستمتع بالطبيعة.  في عطلات نهاية الأسبوع، أحيانًا أذهب للتسوق مع أصدقائي. نحن نتجول في المتاجر ونبحث عن أشياء جديدة. وبعد التسوق، نذهب إلى مقهى ونتحدث عن كل شيء. أحيانًا نشاهد فيلمًا جديدًا في السينما أو نذهب لتناول الطعام معًا.  أحب أيضًا التصوير. عندما أرى مناظر جميلة أو لحظات مميزة، ألتقط صورًا لأتذكرها دائمًا. التصوير يجعلني أرى الجمال في الأشياء البسيطة.  في النهاية، لدي العديد من الهوايات، لكن القراءة تبقى المفضلة لدي. إنها تساعدني على الاسترخاء وتعلم أشياء جديدة. أحب أن أشارك الكتب الجيدة مع الأصدقاء والعائلة وأناقشها معهم. الهوايات تضيف السعادة إلى حياتنا وتجعلها أكثر إثارة.
4_A1	A1	في الصيف الماضي، قررت السفر في رحلة ممتعة مع عائلتي. كانت وجهتنا مدينة جميلة في بلد آخر. بدأنا رحلتنا بالذهاب إلى المطار حيث أخذنا طائرة. كان الطيران ممتعًا، وكنت سعيدًا وأنا أنظر من النافذة لأرى السحاب والسماء الزرقاء. بعد ساعات، وصلنا إلى المدينة الجديدة.  عند وصولنا، أخذنا سيارة إلى الفندق حيث سنقيم. الفندق كان جميلًا ومريحًا. في الصباح، تناولنا الإفطار في مطعم الفندق، ثم قررنا زيارة بعض الأماكن السياحية. زرنا متحف المدينة وتعلمنا الكثير عن تاريخ البلد وثقافته. في المساء، ذهبنا إلى السوق لشراء بعض الهدايا التذكارية.  في اليوم التالي، قررنا الذهاب إلى الشاطئ للاستمتاع بالبحر وأشعة الشمس. لعبنا على الرمال وبنينا قلاعًا صغيرة. بعد الشاطئ، قمنا بجولة إلى الجبل القريب حيث استمتعنا بالمناظر الطبيعية الخلابة والتقاط الصور. كانت العائلة سعيدة بهذه اللحظات الجميلة.  خلال الرحلة، تذوقنا الطعام المحلي وكان لذيذًا ومتنوعًا. في كل مساء، كنا نجتمع معًا ونتحدث عن مغامرات اليوم. في نهاية الرحلة، حزمنا حقائبنا وعدنا إلى المطار لركوب الطائرة إلى المنزل. كانت الرحلة تجربة رائعة ومليئة بالذكريات السعيدة مع العائلة والأصدقاء. أنا ممتن لهذه الفرصة وأتمنى أن أعود إلى تلك المدينة الجميلة يومًا ما.
5_A1	A1	في صباح يوم جميل، ذهبت إلى المدرسة مع حقيبتي على ظهري. كان الجو مشمسًا والطيور تغرد. عندما وصلت إلى المدرسة، رأيت أصدقائي يضحكون ويتحدثون في الفناء. دخلنا جميعًا إلى الفصل عندما دق الجرس. كان الفصل مرتبًا ونظيفًا، ووضعت حقيبتي على الطاولة وجلست على الكرسي الخاص بي.  بدأ اليوم بحصة اللغة العربية، حيث قام المعلم بشرح درس جديد عن القراءة والكتابة. استخدم المعلم السبورة لكتابة الكلمات المهمة، وطلب منا نسخها في دفاترنا باستخدام الأقلام. كنت سعيدًا لأنني أحب اللغة العربية وأجدها ممتعة. بعد ذلك، انتقلنا إلى حصة العلوم، حيث تعلمنا عن الكواكب والنجوم. كان الدرس شيقًا جدًا، والمعلم جعلنا نحب العلم أكثر.  بعد حصتين من الدراسة، حان وقت الاستراحة. خرجنا جميعًا إلى الفناء للعب والمرح. تناولت وجبة خفيفة وتحدثت مع صديقي عن خططنا للعب كرة القدم بعد المدرسة. بعد الاستراحة، عدنا إلى الفصل لحصة الرياضة. قمنا بنشاطات رياضية مختلفة، مثل الجري والقفز. كانت الرياضة ممتعة ومليئة بالطاقة.  في النهاية، كان علينا إنهاء واجب الرياضيات قبل انتهاء اليوم الدراسي. جلست مع أصدقائي في الفصل، وقمنا بحل المسائل معًا. ساعدنا المعلم إذا واجهنا أي صعوبة. بعد انتهاء اليوم، عدت إلى المنزل وأنا أشعر بالسعادة والرضا عن يومي في المدرسة. كان يومًا مليئًا بالتعلم والمرح والصداقات الجميلة.
6_A1	A1	في نهاية كل أسبوع، أحب أن أقضي وقتي في القيام بنشاطات ممتعة ومريحة. أبدأ صباح يوم السبت باستيقاظي مبكرًا لأذهب إلى الحديقة القريبة من بيتي. هناك، أرى الكثير من الناس يلعبون كرة القدم ويستمتعون بالهواء الطلق. أحيانًا، أشارك أصدقائي في لعبة صغيرة، وأحيانًا أخرى أكتفي بمشاهدة المباريات. بعد ذلك، أذهب مع عائلتي إلى مطعم جديد لتجربة طعام لذيذ. أحب أن أكتشف أطباقًا جديدة وأستمتع بوقتي مع العائلة.  في المساء، أعود إلى البيت وأحب أن أشاهد فيلمًا ممتعًا. أختار أفلامًا تجعلني أضحك أو أفكر، وأحيانًا أشارك في مشاهدة الفيلم مع أصدقائي عبر الإنترنت. إذا شعرت بالتعب، أستمع إلى موسيقى هادئة وأقرأ كتابًا جديدًا يساعدني على الاسترخاء. في بعض الأحيان، أقوم بركض خفيف في الحي أو ممارسة السباحة في البركة القريبة.  يوم الأحد يكون يومًا آخر ممتعًا. أبدأه بالتسوق مع الأصدقاء في الأسواق المحلية. أحب أن أرى الأشياء الجديدة وأشتري ما أحتاجه. في المساء، أحب أن أجتمع مع العائلة في البيت ونلعب لعبة جماعية مثل الشطرنج أو الورق. هذه النشاطات تجعل عطلة نهاية الأسبوع مميزة ومليئة بالمرح والراحة.  في نهاية اليوم، أشعر بالسعادة والامتنان للوقت الذي قضيته مع أحبتي. أعتقد أن استغلال عطلة نهاية الأسبوع في القيام بالنشاطات المفضلة يجعلني أبدأ أسبوعًا جديدًا بطاقة وحماس.
7_A1	A1	في تاريخ بلدي، هناك حدث مهم جدًا. هذا الحدث هو يوم استقلال البلاد. هذا اليوم يمثل اللحظة التي حصل فيها الشعب على حريته من الاستعمار. كان هناك رئيس قوي قاد الشعب في هذه الحرب ضد الاستعمار. لماذا هذا اليوم مهم؟ لأنه يرمز إلى الحرية والكرامة والأمل في مستقبل أفضل.  في هذا اليوم، يحتفل الناس في كل مدينة من مدن البلد. يخرج الأطفال والكبار إلى الشوارع للاحتفال. هناك تقليد سنوي حيث يقام احتفال كبير في العاصمة. يحضره الرئيس وكثير من الشخصيات المهمة من العالم. الجميع يشعرون بالفخر لما حققه الأجداد.   الحدث ليس فقط ذكرى تاريخية، بل هو دعوة للتفكير في مسؤوليتنا نحو الوطن. يحملنا على العمل من أجل بناء بلد جديد ومشرق. هو فرصة لتذكر الجهود والتضحيات التي قام بها الشعب والملك والقادة القدماء للحصول على الاستقلال.  في النهاية، هذا اليوم التاريخي يعلمنا أن الوحدة والعمل الجاد يمكن أن يحققا المعجزات. هو يوم يعيد لنا الأمل في المستقبل ويجعلنا نفكر في كيفية الحفاظ على سلام وازدهار بلدنا. هذا اليوم يظل في قلوبنا ونستمر في الاحتفال به كل عام، ليبقى رمزًا للفخر والكرامة.
8_A1	A1	في بلدي، هناك تقليد جميل ومميز يحتفل به الشعب كل عام. هذا التقليد هو عيد الفطر، وهو عيد يأتي بعد شهر رمضان المبارك. في هذا اليوم، تشعر العائلة بالفرح والسعادة، ويجتمع الجميع للاحتفال معًا. الناس في هذا اليوم يرتدون ملابس جديدة ويزورون بعضهم البعض. يحب الأطفال الحصول على العيدية، وهي هدية صغيرة من المال تقدم لهم من الكبار.  عيد الفطر هو وقت للفرح والسرور، حيث تعد العائلات أنواعًا مختلفة من الطعام اللذيذ. يوجد على المائدة أكلات تقليدية يحبها الجميع، مثل الحلوى والكعك. الطعام جزء مهم من هذا الاحتفال، ويجتمع الجميع لتناول الإفطار بعد صلاة العيد في الصباح. خلال النهار، يشاهد الناس برامج تلفزيونية خاصة بالعيد، وتُعزف الموسيقى السعيدة في كل مكان. الأغاني التقليدية تملأ الأجواء بالبهجة، وهي جزء من هذا اليوم الرائع.  كما يعتبر الرقص جزءًا من الاحتفال، حيث يقوم الأطفال والكبار بالرقص على أنغام الموسيقى. كل شخص في العائلة يستمتع بهذا اليوم، سواء كان صغيرًا أو كبيرًا. يتشارك الجميع القصص والذكريات الجميلة عن الأيام الماضية، مما يجعل هذا العيد فرصة للتواصل والتقارب بين الناس.  عيد الفطر ليس فقط يومًا للفرح والاحتفال، بل هو أيضًا جزء من تاريخ وتقليد الشعب. إنه يوم يجمع بين العائلة والأصدقاء ويقدم فرصة للسلام والمحبة. في نهاية اليوم، يشعر الجميع بالسعادة والرضا، ويتمنون أن يعود هذا العيد في العام المقبل بنفس الفرح والمحبة.
9_A1	A1	الانتخابات في بلدي لها أهمية كبيرة. في كل بلد، تعتبر الانتخابات جزءًا مهمًا من حرية الناس. فهي تمنح الشعب فرصة اختيار من يمثلهم ويحكمهم. في بلدي، يشارك الكثير من الناس في هذه العملية المهمة. يختار الشعب رئيس الدولة وأعضاء الحكومة من خلال الانتخابات. هذه العملية تساعد في تحديد النظام الذي سيحكم البلد.  في الانتخابات، يذهب الناس إلى مراكز محلية للتصويت. هناك، يختارون الأشخاص الذين يعتقدون أنهم الأفضل لتمثيلهم. هذا الاختيار مهم لأنه يؤثر على حياة الناس اليومية وعلى مستقبل البلد. من خلال الانتخابات، يعبر الشعب عن رأيه ويشارك في صنع القرار.   الحرية في الاختيار تمنح الناس القوة لقول كلمتهم. عندما يشارك الناس في الانتخابات، فإنهم يظهرون أنهم يهتمون بمستقبل بلدهم. هذه المشاركة تجعل النظام أقوى وأكثر استقرارًا. في النهاية، الانتخابات تعزز الديمقراطية وتساعد في بناء بلد قوي ومزدهر.
10_A1	A1	الحكومة تلعب دورًا مهمًا في حياتنا اليومية. كل يوم، نتأثر بقرارات الحكومة في العديد من الجوانب. على سبيل المثال، التعليم جزء كبير من حياتنا اليومية، والحكومة تساهم في توفير مدارس جيدة وبرامج تعليمية مفيدة للجميع. عندما نذهب إلى المدرسة، نحصل على تعليم يساعدنا في بناء مستقبلنا.  الصحة أيضًا مجال مهم تؤثر فيه الحكومة. المستشفيات التي نزورها عندما نحتاج إلى رعاية طبية تكون مدعومة من الحكومة لضمان حصول الجميع على العلاج اللازم. بالإضافة إلى ذلك، الحكومة تضمن أن لدينا طرقًا آمنة ووسائل نقل مريحة، مثل السيارات التي نستخدمها يوميًا في المدينة للوصول إلى العمل أو المدرسة.  في حياتنا اليومية، نحتاج إلى الكهرباء في بيوتنا لتشغيل الأجهزة الحديثة، والحكومة تعمل على توفير نظام طاقة موثوق به. الأمان جزء لا يتجزأ من حياتنا اليومية، والحكومة تعمل على حماية المواطنين في المدينة، مما يجعلنا نشعر بالراحة والأمان في بيوتنا وأثناء سيرنا في الشوارع.  أحد الأمثلة الواضحة على تأثير الحكومة هو النظام الاقتصادي الذي يؤثر على المال الذي نكسبه من العمل. الحكومة تضع السياسات التي تؤثر على فرص العمل وتحسين الاقتصاد. بفضل هذه الجهود، يمكننا العمل وكسب المال لتلبية احتياجاتنا اليومية.  في النهاية، الحكومة تؤثر على حياتنا اليومية بطرق متعددة، من التعليم إلى الصحة والعمل والأمن. نحن نعتمد على الحكومة لجعل حياتنا أفضل وأكثر أمانًا كل يوم.
